symbol,strategy_name,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ETHBTC,SMA Crossover,-38.22281507659934,-16.089219715120652,38.47905528555764,14.893617021276595,-4.080420412253627,47.842261904761905
WBTCBTC,SMA Crossover,-33.84713458453958,-50.65127804710295,33.84713458453958,0.0,-3.3847134584539584,48.23164682539682
SOLBTC,SMA Crossover,-46.23969614135334,-15.426261219724715,49.66839095716042,21.052631578947366,-4.917997455598938,46.041666666666664
XRPBTC,SMA Crossover,-47.53336169286016,-13.673182052185826,47.634920685108135,19.41747572815534,-4.614889484743708,48.608630952380956
BERABTC,SMA Crossover,-11.095273855208996,-0.3820948152895841,30.216683583670118,32.87671232876712,-2.5069161584799087,52.90352504638219
KAITOBTC,SMA Crossover,17.679437641493507,3.7528180582077373,42.65290064038256,38.46153846153847,6.799783708266741,50.72249589490969
LTCBTC,SMA Crossover,-34.049522126651894,-6.4008009206974235,34.99431616064611,34.375,-3.628368944308895,50.411706349206355
RUNEBTC,SMA Crossover,-25.99800642992956,-2.982739179181002,34.66839715617254,25.274725274725274,-2.8569237835087407,44.90823412698413
DOGEBTC,SMA Crossover,-49.26990475375263,-8.818951495588259,50.331203817481686,16.666666666666664,-4.903836471734248,48.18948412698413
BNBBTC,SMA Crossover,-18.2709605126602,-6.341010783772072,21.907512314900803,21.428571428571427,-2.1751143467452665,46.69890873015873
LAYERBTC,SMA Crossover,14.996160463948616,2.4451606424225694,45.61109209631729,26.31578947368421,2.6309053445523922,49.186602870813395
LINKBTC,SMA Crossover,-47.29134341942705,-14.716513527995101,49.921893866795614,20.408163265306122,-4.848682738698315,45.37698412698413
HEIBTC,SMA Crossover,-47.49203284758096,-10.66187463905637,55.07290484609969,20.0,-7.915338807930162,44.14007092198581
QTUMBTC,SMA Crossover,-62.35008134934564,-10.38928963356121,63.125362789423036,16.129032258064516,-6.704309822510281,44.55853174603175
SHELLBTC,SMA Crossover,-37.98106363315911,-38.322900416622716,37.98106363315911,0.0,-75.96212726631823,34.714285714285715
SUIBTC,SMA Crossover,-45.76657628470006,-9.961904218139031,46.42592699474523,23.300970873786408,-4.453270184160596,45.71180555555556
NEOBTC,SMA Crossover,-42.17694689173752,-13.192091532397257,42.897875325797216,23.762376237623762,-4.179615413101931,48.382936507936506
TAOBTC,SMA Crossover,-47.88887670111848,-8.12104082178974,47.888876701118456,28.08988764044944,-5.271856983788037,47.854662698412696
HBARBTC,SMA Crossover,-49.11972123355129,-6.526808901857427,54.18516196305572,24.299065420560748,-4.590628152668343,45.36954365079365
TRXBTC,SMA Crossover,-31.964670646289655,-3.8011929437352676,34.11874520388072,23.157894736842106,-3.3762777194838742,50.416666666666664
